,,,,,,,28/07/2026,RELATÓRIO BAHIA ATUALIZADO,,,,28/07/2026,,EM VERDE DATA REPROGRAMADA,,28/07/2026,,,,,,,,
,,,EM VERMELHO CÓD. DA CARTELA NÃO LOCALIZADO,,,,28/07/2026 10:10:01,,,,DÚVIDA CLICA AQUI,https://encurtador.com.br/2bDAO,,SEMPRE VERIFICAR O FILTRO PRAZO,,,,,,,,,,
Coluna 1,cartela,CLIENTE,CÓD. FILIAL,PEDIDO,CÓD. CLIENTE,CÓD. MARFIM,DESCRIÇÃO,TAMANHO,ORD. COMPRA,QTD. ABERTA,LOTES,código OS,DT. RECEBIMENTO,DT. ENTREGA,PRAZO,POSIÇÃO NA PRODUÇÃO,DATA SISTEMA,Coluna 2,DATA ALTERADA,cartelas,CÓDIGO ALTERADO,Column 24,códigos do sistema,conta e ordem
2246,OK,DASS ITABERABA,70,141195,1365268,90989,ATAC. M12109 8MM POLIESTER COR 4085,130CM,15971259,186,135870,15966146ASB0053049,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1365268,ASICS,NORMAL
2247,OK,DASS ITABERABA,70,141196,1400176,93022,CORDAO M9099 POLIESTER COR 4085,1.8MM,15971263,1200,135871,0,24/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1400176,ASICS,NORMAL
2379,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,288,135634,15936850BRI010403-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2380,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,288,135634,15936851BRI010403-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2381,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,288,135634,15936853BRI010404-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2382,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,288,135634,15936854BRI010404-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2383,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,276,135634,15936856BRI010405-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2384,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,110CM,15939328,288,135634,15936858BRI010405-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2385,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,468,135634,15936850BRI010403-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2386,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,504,135634,15936851BRI010403-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2387,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,456,135634,15936853BRI010404-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2388,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,492,135634,15936854BRI010404-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2389,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,456,135634,15936856BRI010405-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2390,OK,DASS VITORIA,391,140947,827533,95643,ATAC. M13801 POLIESTER COR 100,120CM,15939328,492,135634,15936858BRI010405-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827533,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2391,OK,DASS VITORIA,391,140947,827530,95644,ATAC. M13801 POLIESTER COR 102,120CM,15939328,324,135634,15936818BRI010395,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827530,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2392,OK,DASS VITORIA,391,140947,827530,95644,ATAC. M13801 POLIESTER COR 102,130CM,15939328,696,135634,15936818BRI010395,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,827530,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2393,OK,DASS VITORIA,391,140947,1328498,95645,ATAC. M13801 POLIESTER COR 058,120CM,15939328,324,135634,15936893BRI010399-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1328498,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2394,OK,DASS VITORIA,391,140947,1328498,95645,ATAC. M13801 POLIESTER COR 058,120CM,15939328,324,135634,15936895BRI010399-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1328498,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2395,OK,DASS VITORIA,391,140947,1328498,95645,ATAC. M13801 POLIESTER COR 058,130CM,15939328,444,135634,15936893BRI010399-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1328498,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
2396,OK,DASS VITORIA,391,140947,1328498,95645,ATAC. M13801 POLIESTER COR 058,130CM,15939328,456,135634,15936895BRI010399-,17/07/2026,02/09/2026,36,,02/09/26,,,,#N/A,1328498,UMBRO,CONTA E ORDEM VITÓRIA X ITABERABA
208,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,100CM,15775198,144,133902,15773825NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
209,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,100CM,15775198,144,133902,15773827NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
210,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,105CM,15775198,963,133902,15773825NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
211,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,105CM,15775198,1014,133902,15773827NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
212,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,110CM,15775198,60,133902,15773825NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
213,OK,DASS SEST,7,139282,1278311,86418,ATAC. MR140014 6MM RECICLADO COR 4662/PET,110CM,15775198,60,133902,15773827NBR3282885,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1278311,NIKE,
214,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,105CM,15775198,168,133902,15773834NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
215,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,105CM,15775198,210,133902,15773835NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
216,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,110CM,15775198,542,133902,15773834NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
217,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,110CM,15775198,534,133902,15773835NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
218,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,115CM,15775198,204,133902,15773834NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
219,OK,DASS SEST,7,139282,1360726,95705,ATAC. MR140014 6MM RECICLADO COR 057/PET,115CM,15775198,228,133902,15773835NBR3282918,02/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1360726,NIKE,
290,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,100CM,15816414,192,134325,15815477NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
291,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,100CM,15816414,241,134325,15815478NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
292,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,105CM,15816414,658,134325,15815477NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
293,OK,DASS SEST,7,139574,1299257,86978,ATAC. MR130027 6MM RECICLADO COR 4085/PET,105CM,15816414,673,134325,15815478NBR3282905,11/06/2026,08/09/2026,42,REPROG.,07/09/26,,08/09/2026,,#N/A,1299257,NIKE,
